SchoolYear,DistrictCode,SchoolCode,DistrictName,DistrictType,SchoolName,SchoolType,Street1,Street2,City,State,Zip,County,LowestGrade,HighestGrade,EducationLevel,HasEC,HasPK,HasKN,HasElementaryGrade,HasMiddleGrade,HasHighGrade,IsUngraded,Geocoded Location
2018,10,610,Caesar Rodney School District,Regular,Allen Frear Elementary School,PUBLIC,238 Sorghum Mill Road,,Camden-Wyoming,DE,19934,Kent,1,5,Elementary,0,0,0,1,0,0,0,
2018,10,611,Caesar Rodney School District,Regular,J. Ralph McIlvaine Early Childhood Center,PUBLIC,Post Office Box 258,11 East Walnut,Magnolia,DE,19962,Kent,KG,KG,Kindergarten,0,0,1,0,0,0,0,
2018,10,612,Caesar Rodney School District,Regular,Major George S. Welch Elementary School,PUBLIC,3100 Hawthorne Drive,,Dover,DE,19901,Kent,1,5,Elementary,0,0,0,1,0,0,0,
2018,10,615,Caesar Rodney School District,Regular,Kent Elementary Intensive Learning Center,PUBLIC,5 Old North Road,,Camden-Wyoming,DE,19934,Kent,KG,5,Elementary,0,0,1,1,0,0,0,
2018,10,616,Caesar Rodney School District,Regular,Nellie Hughes Stokes Elementary School,PUBLIC,3874 Upper King Road,,Dover,DE,19904,Kent,1,5,Elementary,0,0,0,1,0,0,0,
2018,10,618,Caesar Rodney School District,Regular,Star Hill Elementary School,PUBLIC,594 Voshells Mill/Star Hill Road,,Dover,DE,19901,Kent,1,5,Elementary,0,0,0,1,0,0,0,
2018,10,620,Caesar Rodney School District,Regular,W. B. Simpson Elementary School,PUBLIC,5 Old North Road,,Camden,DE,19934,Kent,1,5,Elementary,0,0,0,1,0,0,0,
2018,10,621,Caesar Rodney School District,Regular,F. Niel Postlethwait Middle School,PUBLIC,2841 South State Street,,Camden,DE,19934,Kent,6,8,Middle,0,0,0,0,1,0,0,
2018,10,622,Caesar Rodney School District,Regular,W. Reily Brown Elementary School,PUBLIC,360 Webbs Lane,,Dover,DE,199045438,Kent,1,5,Elementary,0,0,0,1,0,0,0,
2018,10,625,Caesar Rodney School District,Regular,Fred Fifer III Middle School,PUBLIC,109 East Camden-Wyoming Avenue,,Camden,DE,19934,Kent,6,8,Middle,0,0,0,0,1,0,0,
