OBJECTID,NAME,DIST_ID,SQMILES,SHORTNAME,ADDRESS,ADMIN,TITLE,ENROLL,OFFICECODE,WEB_URL,DIST_URL,UNIFIED,SHAPE,SHAPE.AREA,SHAPE.LEN
1,BRANDYWINE SCHOOL DISTRICT,31,32.68409844,BRANDYWINE,"1000 Pennsylvania Avenue Claymont, DE 19703",Mark Holodick,Superintendent,10217,102,http://profiles.doe.k12.de.us/District.htm?DistrictCode=31&checkSchool=0,http://www.brandywineschools.org/bsd/site/,01240,"(39.83946357700006, -75.56598716399998)",142646601.374022006988525,
2,RED CLAY CONSOLIDATED,32,66.281562269999995,RED CLAY,"1502 Spruce Avenue Wilmington, DE 19805",Mervin  Daugherty,Superintendent,15709,210,http://profiles.doe.k12.de.us/District.htm?DistrictCode=32&checkSchool=0,http://www.redclay.k12.de.us/,01300,"(39.837903621000066, -75.59147755699996)",290843692.826605975627899,
3,CHRISTINA SCHOOL DISTRICT,33,63.871714279999999,CHRISTINA,"600 N. Lombard Street Wilmington, DE 19801-4499",Marcia  Lyles,Superintendent,17200,302,http://profiles.doe.k12.de.us/District.htm?DistrictCode=33&checkSchool=0,http://www.christina.k12.de.us/,00200,"(39.75862698700007, -75.75215558699995)",279285912.543210029602051,
4,COLONIAL SCHOOL DISTRICT,34,80.538807329999997,COLONIAL,"318 East Basin Road New Castle, DE 19720-4214",Dorothy Linn,Superintendent,10465,402,http://profiles.doe.k12.de.us/District.htm?DistrictCode=34&checkSchool=0,http://www.colonial.k12.de.us/,00230,"(39.742666143000065, -75.50105085199993)",353184756.054862022399902,
5,CHRISTINA SCHOOL DISTRICT,33,2.77725262,CHRISTINA,"600 N. Lombard Street Wilmington, DE 19801",Marcia  Lyles,Superintendent,17200,302,http://profiles.doe.k12.de.us/District.htm?DistrictCode=33&checkSchool=0,http://www.christina.k12.de.us/,00200,"(39.74603929300008, -75.53152582399997)",12179255.338932299986482,
6,APPOQUINIMINK SCHOOL DISTRICT,29,130.548904109999995,APPOQUINIMINK,"223 South Fifth Street Odessa, DE 19730-4010",Matt Burrows,Superintendent,8658,9,http://profiles.doe.k12.de.us/District.htm?DistrictCode=29&checkSchool=0,http://www.apposchooldistrict.com/,00080,"(39.583967563000044, -75.71360958599996)",563349747.395207047462463,
7,SMYRNA SCHOOL DISTRICT,24,174.511994020000003,SMYRNA,"82 Monrovia Avenue, Smyrna, DE 19977",Deborah Wicks,Superintendent,4657,697,http://profiles.doe.k12.de.us/District.htm?DistrictCode=24&checkSchool=0,http://www.smyrna.k12.de.us,01620,"(39.438027619000025, -75.57541168199998)",755301606.066817998886108,
8,CAPITAL SCHOOL DISTRICT,13,116.821254370000005,CAPITAL,"945 Forest Street Dover, DE 19904-3498",Michael Thomas,Superintendent,6161,631,http://profiles.doe.k12.de.us/District.htm?DistrictCode=13&checkSchool=0,http://www.capital.k12.de.us,00190,"(39.245188014000064, -75.40906542099998)",500516707.753973007202148,
9,CAESAR RODNEY SCHOOL DISTRICT,10,108.979180209999996,CAESAR RODNEY,"7 Front Street Wyoming, DE 19934-1252",Kevin Fitzgerald,Superintendent,7279,609,http://profiles.doe.k12.de.us/District.htm?DistrictCode=10&checkSchool=0,http://www.cr.k12.de.us/,00180,"(39.15855024700005, -75.41102298699997)",474060585.784807026386261,
10,LAKE FOREST SCHOOL DISTRICT,15,161.719255479999987,LAKE FOREST,"5423 Killens Pond Road Felton, DE 19943-9801",Daniel Curry,Superintendent,3877,657,http://profiles.doe.k12.de.us/District.htm?DistrictCode=15&checkSchool=0,http://www.lf.k12.de.us/,00790,"(39.066930298000045, -75.40438412299994)",694053938.220188021659851,
11,MILFORD SCHOOL DISTRICT,18,165.615946570000006,MILFORD,"906 Lakeview Avenue Milford, DE 19963-1799",Sharon Kanter,Superintendent,4109,667,http://profiles.doe.k12.de.us/District.htm?DistrictCode=18&checkSchool=0,http://milfordschooldistrict.org/,01080,"(39.05219249100003, -75.39034386099996)",706427731.10106897354126,
12,WOODBRIDGE SCHOOL DISTRICT,35,142.408156109999993,WOODBRIDGE,"16359 Sussex Highway Bridgeville, DE 19933",Phyllis Kohel,Superintendent,2032,773,http://profiles.doe.k12.de.us/District.htm?DistrictCode=35&checkSchool=0,http://www.wsd.k12.de.us/,01850,"(38.88122533400008, -75.56969784099994)",611099235.941017031669617,
